"V1","V2","V3","V4","V5","V6","V7","V8"
-0.053395117,-0.034494308,-0.038247497,-0.051082782,-0.034000501,-0.046869512,-0.047359234,-0.041520474
-0.052238069,-0.03300502,-0.037056462,-0.045203032,-0.033200824,-0.047441162,-0.041029425,-0.037447807
-0.053156601,-0.031817544,-0.038268328,-0.045096533,-0.0318884,-0.04705086,-0.040106387,-0.03601238
-0.050397215,-0.029210983,-0.034822297,-0.044526263,-0.03050215,-0.04442061,-0.037751205,-0.028558595
-0.051555942,-0.031977386,-0.038058532,-0.045125952,-0.037787629,-0.045121273,-0.038404632,-0.040339097
-0.050589428,-0.032136767,-0.035940483,-0.043993384,-0.037817676,-0.046504477,-0.037642376,-0.035993221
-0.053624333,-0.032034096,-0.038611911,-0.044530541,-0.038494305,-0.046372744,-0.038383094,-0.039413634
-0.056528058,-0.031961734,-0.040681428,-0.04535833,-0.03890683,-0.046659529,-0.039216551,-0.041550468
-0.052735894,-0.030166167,-0.040241926,-0.044901579,-0.037009261,-0.046288895,-0.037213931,-0.037283036
-0.059340224,-0.042894419,-0.041702117,-0.057141765,-0.044419659,-0.057005532,-0.042341876,-0.040347783
-0.057146952,-0.039823373,-0.039716519,-0.056435626,-0.041618397,-0.057901029,-0.038753977,-0.032756272
-0.055833164,-0.038831324,-0.040244802,-0.055898349,-0.041325655,-0.063542897,-0.039390156,-0.046208545
-0.053407946,-0.037313638,-0.037443854,-0.05450297,-0.043257932,-0.068304672,-0.039809559,-0.042017387
-0.053920253,-0.034737363,-0.038813008,-0.054531631,-0.033265181,-0.068558451,-0.037002689,-0.039590856
-0.05565531,-0.034905959,-0.035868876,-0.056720861,-0.030857371,-0.073016257,-0.040576427,-0.038869925
-0.055114748,-0.035362534,-0.037996274,-0.056254736,-0.029220496,-0.069198678,-0.045253611,-0.046655621
-0.056199637,-0.03627077,-0.039935471,-0.056610032,-0.038229736,-0.068146247,-0.044395789,-0.047160331
-0.054179942,-0.034064318,-0.037322461,-0.055741248,-0.036882889,-0.063956462,-0.044346566,-0.045185785
-0.057457861,-0.0374348,-0.040928513,-0.057530106,-0.039719135,-0.064768827,-0.043012173,-0.04768842
-0.05634527,-0.036196398,-0.040368019,-0.056382127,-0.03733466,-0.062025968,-0.042226072,-0.047366383
-0.054964448,-0.030312619,-0.039138439,-0.055452252,-0.034605114,-0.058652622,-0.038802253,-0.045819826
-0.057255635,-0.031103025,-0.041937069,-0.056407757,-0.034572065,-0.0578593,-0.038229861,-0.047671704
-0.065371305,-0.042983201,-0.046042837,-0.058037767,-0.037719629,-0.05921163,-0.037292183,-0.048797031
-0.063917724,-0.051726146,-0.043987675,-0.077166442,-0.039403218,-0.061526376,-0.044275292,-0.049786852
-0.060786079,-0.047856699,-0.040290373,-0.075847956,-0.037262872,-0.056531257,-0.043105164,-0.044947575
-0.061021073,-0.047293189,-0.040110378,-0.076352487,-0.036611083,-0.05698048,-0.043364425,-0.044156934
-0.062420058,-0.046079611,-0.041918186,-0.077342081,-0.036665236,-0.056613522,-0.040953885,-0.045739321
-0.064190905,-0.039929071,-0.04286668,-0.080125203,-0.039224192,-0.058746592,-0.041340622,-0.045456615
-0.065586389,-0.040529304,-0.044058597,-0.063553467,-0.041153827,-0.059372383,-0.041823213,-0.046828082
-0.066575016,-0.042635958,-0.045656885,-0.064271784,-0.041803897,-0.055611018,-0.040971973,-0.048486646
-0.068230048,-0.045344057,-0.047548512,-0.064585755,-0.042286818,-0.054117781,-0.040726721,-0.051333732
-0.065336635,-0.041820645,-0.044581983,-0.062943512,-0.038789277,-0.052899096,-0.038158519,-0.047405466
-0.064520072,-0.043208511,-0.046247395,-0.061805126,-0.039825131,-0.053147227,-0.037974188,-0.048251015
-0.060921176,-0.040080257,-0.043326032,-0.059540574,-0.036393687,-0.051723696,-0.037707926,-0.046409564
-0.060104343,-0.039376598,-0.04329517,-0.058214081,-0.035183805,-0.049225413,-0.036898677,-0.046838196
-0.058605325,-0.040985788,-0.044362729,-0.060175452,-0.033164331,-0.050145542,-0.036641839,-0.04575498
-0.060197666,-0.04264638,-0.046305218,-0.054409147,-0.034559842,-0.046109735,-0.03596499,-0.042777679
-0.059862227,-0.040298558,-0.042774719,-0.048908509,-0.034041381,-0.037199654,-0.03465256,-0.034566845
-0.061257164,-0.041405235,-0.044476563,-0.047770779,-0.034233894,-0.036165099,-0.033898292,-0.032756927
-0.06118865,-0.045373379,-0.041315171,-0.049138143,-0.033326659,-0.036795122,-0.032416706,-0.034426744
-0.062736652,-0.045691359,-0.042235112,-0.053378843,-0.037919801,-0.039440978,-0.040558436,-0.048159769
-0.052164991,-0.041169346,-0.040986017,-0.055685322,-0.038318864,-0.043252746,-0.03927556,-0.045268438
-0.051247517,-0.040240021,-0.039787427,-0.054505569,-0.036085254,-0.041659762,-0.038261197,-0.043842452
-0.048042445,-0.033966703,-0.037420167,-0.051064506,-0.029110804,-0.038191374,-0.033752587,-0.039117462
-0.051335777,-0.038222016,-0.039324024,-0.051412332,-0.028225231,-0.037042743,-0.036019861,-0.044375114
-0.048713151,-0.033330632,-0.038581983,-0.055211496,-0.029950448,-0.040929664,-0.036734467,-0.042539041
-0.049497016,-0.032731186,-0.039699896,-0.06011668,-0.030937408,-0.047132238,-0.035776483,-0.041480143
-0.039926101,-0.028349971,-0.038649146,-0.060073685,-0.028694834,-0.048641088,-0.034738209,-0.036912802
-0.048572097,-0.039819676,-0.042655019,-0.064048179,-0.033249993,-0.048625017,-0.038992171,-0.048200884
-0.046862062,-0.037330268,-0.041909385,-0.063279667,-0.033914246,-0.049287689,-0.03840518,-0.046014914
-0.047339873,-0.042069163,-0.041889255,-0.065665915,-0.036646716,-0.049243082,-0.042904971,-0.047598139
-0.039164954,-0.032843204,-0.038939493,-0.060435086,-0.059164,-0.053331512,-0.044343009,-0.044928989
-0.03795849,-0.033521921,-0.040537893,-0.062715626,-0.061573815,-0.056007323,-0.0459376,-0.045766791
-0.041647239,-0.044621577,-0.040047168,-0.064266045,-0.052093478,-0.045974124,-0.052697986,-0.052912988
